# ref_phrases.txt — reference finder phrases for phrasefinder
# All languages flattened into one file.
# Format: label | phrase
# Lines starting with # are comments.


# ── ar ────────────────────────────────────────────────
book | كتاب بعنوان
paper | అనే ఒక పరిశోధన పత్రం
paper | అధ్యయనంలో కనుగొనబడింది
paper | arxiv లో ప్రచురించబడింది
paper | ane oka parishodhana patram
paper | arxiv lo prachurinchababindi
movie | అనే ఒక సినిమా
movie | అనే ఒక డాక్యుమెంటరీ
movie | దర్శకుడు
movie | ane oka cinema
movie | darshakudu
tv | అనే ఒక సిరీస్
tv | ane oka series
song | అనే ఒక పాట
song | అనే ఒక ఆల్బమ్
song | ane oka paata
song | ane oka album
podcast | అనే ఒక పాడ్‌కాస్ట్
podcast | పాడ్‌కాస్ట్‌లో చెప్పారు
podcast | ane oka podcast
map | యొక్క మ్యాప్
map | యొక్క రాజధాని
map | yokka map
map | yokka rajadhani
book | ಎಂಬ ಒಂದು ಪುಸ್ತಕ
book | ಎಂಬ ಹೆಸರಿನ ಪುಸ್ತಕ
book | ಎಂಬ ಒಂದು ಕಾದಂಬರಿ
book | ಪುಸ್ತಕ ಪ್ರಕಟಿಸಿದರು
book | ಪುಸ್ತಕದ ಲೇಖಕ
book | emba ondu pustaka
book | pustakada lekhaka
paper | ಎಂಬ ಒಂದು ಸಂಶೋಧನಾ ಪ್ರಬಂಧ
paper | ಅಧ್ಯಯನದಲ್ಲಿ ಕಂಡುಬಂದಿದೆ
paper | arxiv ನಲ್ಲಿ ಪ್ರಕಟಿಸಲಾಗಿದೆ
paper | emba ondu samshodhana prabandha
paper | arxiv nalli prakatisalagide
movie | ಎಂಬ ಒಂದು ಚಲನಚಿತ್ರ
movie | ಎಂಬ ಒಂದು ಸಾಕ್ಷ್ಯಚಿತ್ರ
movie | ನಿರ್ದೇಶಕರು
movie | emba ondu chalanachitra
movie | nirdeshakaru
tv | ಎಂಬ ಒಂದು ಸರಣಿ
tv | emba ondu sarani
song | ಎಂಬ ಒಂದು ಹಾಡು
song | ಎಂಬ ಒಂದು ಆಲ್ಬಮ್
song | emba ondu haadu
podcast | ಎಂಬ ಒಂದು ಪಾಡ್‌ಕಾಸ್ಟ್
podcast | ಪಾಡ್‌ಕಾಸ್ಟ್‌ನಲ್ಲಿ ಹೇಳಿದರು
podcast | emba ondu podcast
map | ಯ ನಕ್ಷೆ
map | ಯ ರಾಜಧಾನಿ
map | ya nakshe
map | ya rajadhani
book | എന്ന ഒരു പുസ്തകം
book | എന്ന പേരിലുള്ള പുസ്തകം
book | എന്ന ഒരു നോവൽ
book | പുസ്തകം പ്രസിദ്ധീകരിച്ചു
book | പുസ്തകത്തിന്റെ രചയിതാവ്
book | enna oru pustakam
book | pustakathinte rachayitaav
paper | എന്ന ഒരു ഗവേഷണ പ്രബന്ധം
paper | പഠനത്തിൽ കണ്ടെത്തി
paper | arxiv ൽ പ്രസിദ്ധീകരിച്ചു
paper | enna oru gaveshana prabandham
paper | arxiv il prasiddheekarichchu
movie | എന്ന ഒരു ചലച്ചിത്രം
movie | എന്ന ഒരു ഡോക്യുമെന്ററി
movie | സംവിധായകൻ
movie | enna oru chalacchithram
movie | samvidhaayakan
tv | എന്ന ഒരു സീരീസ്
tv | enna oru series
song | എന്ന ഒരു പാട്ട്
song | എന്ന ഒരു ആൽബം
song | enna oru paattu
podcast | എന്ന ഒരു പോഡ്കാസ്റ്റ്
podcast | പോഡ്കാസ്റ്റിൽ പറഞ്ഞു
podcast | enna oru podcast
map | യുടെ ഭൂപടം
map | യുടെ തലസ്ഥാനം
map | yude bhoopadam
map | yude thalasthaanam

# ── en ────────────────────────────────────────────────
book | a book called
book | a book titled
book | a book entitled
book | a book by
book | a book about
book | a novel called
book | a novel titled
book | a novel by
book | a novel about
book | a memoir called
book | a memoir titled
book | a memoir by
book | a biography called
book | a biography titled
book | a biography of
book | an autobiography called
book | a textbook called
book | a textbook titled
book | published a book called
book | published a book titled
book | published a book on
book | released a book called
book | wrote a book called
book | wrote a book titled
book | in his book called
book | in her book called
book | in their book called
book | in the book called
book | the author of
paper | a paper called
paper | a paper titled
paper | a paper on
paper | a paper about
paper | a paper by
paper | a study called
paper | a study titled
paper | a study on
paper | a recent study
paper | a new study
paper | a research paper called
paper | a research paper on
paper | published a paper called
paper | published a paper titled
paper | published a paper on
paper | published a paper about
paper | published a study called
paper | published a study on
paper | posted on arxiv
paper | arxiv paper
paper | in a paper published
paper | in a study published
paper | the paper found that
paper | the study found that
paper | the paper argues that
paper | the paper shows that
paper | a preprint called
paper | a meta-analysis of
paper | a systematic review of
movie | a film called
movie | a film titled
movie | a film by
movie | a movie called
movie | a movie titled
movie | a movie by
movie | a documentary called
movie | a documentary titled
movie | a documentary about
movie | a documentary on
movie | a short film called
movie | directed by
movie | released a film called
movie | released a movie called
movie | released a documentary called
movie | made a film called
movie | a biopic called
movie | a biopic about
tv | a show called
tv | a show titled
tv | a series called
tv | a series titled
tv | a tv show called
tv | a tv series called
tv | a miniseries called
tv | a limited series called
tv | a docuseries called
tv | a docuseries about
tv | a show created by
tv | a series created by
tv | released a series called
tv | released a show called
tv | an anime called
tv | an anime titled
song | a song called
song | a song titled
song | a song by
song | a track called
song | a track by
song | a single called
song | a single titled
song | a single by
song | an album called
song | an album titled
song | an album by
song | an ep called
song | released an album called
song | released a song called
song | released a single called
song | dropped an album called
song | dropped a single called
song | dropped a track called
podcast | a podcast called
podcast | a podcast titled
podcast | a podcast about
podcast | a podcast hosted by
podcast | a podcast by
podcast | on the podcast
podcast | said on the podcast
podcast | discussed on the podcast
podcast | talked about on the podcast
podcast | mentioned on the podcast
map | a map of
map | show me a map of
map | show a map of
map | pull up a map of
map | put up a map of
map | imagine a map of
map | picture a map of
map | look at a map of
map | the geography of
map | the border between
map | the capital of
map | the capital city of
book | a new novel called
book | a classic memoir by
book | an acclaimed memoir by
movie | a classic documentary called
tv | a limited series titled

# ── es ────────────────────────────────────────────────
book | un libro llamado
book | un libro titulado
book | un libro de
book | una novela llamada
book | una novela titulada
book | una novela de
book | una novela que se llama
book | una biografía de
book | una biografía titulada
book | unas memorias tituladas
book | publicó un libro llamado
book | publicó un libro titulado
book | lanzó un libro llamado
book | en su libro llamado
book | en su libro titulado
book | el autor de
paper | un artículo llamado
paper | un artículo titulado
paper | un artículo sobre
paper | un estudio llamado
paper | un estudio titulado
paper | un estudio sobre
paper | un estudio reciente
paper | un artículo de investigación titulado
paper | publicó un artículo titulado
paper | publicó un estudio sobre
paper | en un artículo publicado
paper | el estudio encontró que
paper | el artículo argumenta que
paper | en arxiv
paper | publicado en arxiv
paper | un preprint titulado
movie | una película llamada
movie | una película titulada
movie | una película de
movie | una película dirigida por
movie | un documental llamado
movie | un documental titulado
movie | un documental sobre
movie | dirigida por
movie | lanzó una película llamada
movie | un cortometraje llamado
movie | un biopic sobre
tv | una serie llamada
tv | una serie titulada
tv | una serie creada por
tv | un programa llamado
tv | un programa titulado
tv | una miniserie llamada
tv | una serie de televisión llamada
tv | un docuserie sobre
song | una canción llamada
song | una canción titulada
song | una canción de
song | un álbum llamado
song | un álbum titulado
song | un álbum de
song | un sencillo llamado
song | lanzó un álbum llamado
song | lanzó una canción llamada
song | lanzó un sencillo llamado
song | sacó un álbum llamado
podcast | un podcast llamado
podcast | un podcast titulado
podcast | un podcast de
podcast | un podcast presentado por
podcast | dijo en el podcast
podcast | discutido en el podcast
podcast | mencionado en el podcast
map | un mapa de
map | muéstrame un mapa de
map | la geografía de
map | la frontera entre
map | la capital de

# ── fa ────────────────────────────────────────────────
book | کتابی به نام
book | کتابی با عنوان
book | رمانی به نام
book | رمانی با عنوان
book | کتابی منتشر کرد به نام
book | در کتابش به نام
book | نویسنده کتاب
paper | مقاله‌ای به نام
paper | مقاله‌ای با عنوان
paper | مطالعه‌ای به نام
paper | مقاله‌ای منتشر کرد
paper | مطالعه نشان داد که
paper | در arxiv
paper | منتشر شده در arxiv
movie | فیلمی به نام
movie | فیلمی با عنوان
movie | مستندی به نام
movie | کارگردانی شده توسط
movie | با بازی
tv | سریالی به نام
tv | برنامه‌ای به نام
song | آهنگی به نام
song | آلبومی به نام
song | آلبومی منتشر کرد به نام
podcast | پادکستی به نام
podcast | در پادکست گفت
map | نقشه
map | نقشه‌ای از
map | مرز بین
map | پایتخت

# ── fr ────────────────────────────────────────────────
book | un livre appelé
book | un livre intitulé
book | un livre de
book | un roman appelé
book | un roman intitulé
book | un roman de
book | un roman qui s'appelle
book | une biographie de
book | une biographie intitulée
book | un mémoire intitulé
book | une autobiographie intitulée
book | a publié un livre intitulé
book | a publié un livre appelé
book | a sorti un livre intitulé
book | dans son livre intitulé
book | dans son livre appelé
book | l'auteur de
paper | un article intitulé
paper | un article appelé
paper | un article sur
paper | une étude intitulée
paper | une étude sur
paper | une étude récente
paper | un article de recherche intitulé
paper | a publié un article intitulé
paper | a publié une étude sur
paper | dans un article publié
paper | l'étude a révélé que
paper | l'article affirme que
paper | sur arxiv
paper | publié sur arxiv
paper | un preprint intitulé
paper | une méta-analyse de
movie | un film appelé
movie | un film intitulé
movie | un film de
movie | un documentaire appelé
movie | un documentaire intitulé
movie | un documentaire sur
movie | un court-métrage intitulé
movie | réalisé par
movie | a sorti un film intitulé
movie | un biopic sur
tv | une série appelée
tv | une série intitulée
tv | une série créée par
tv | une émission appelée
tv | une émission intitulée
tv | une mini-série intitulée
tv | une série télévisée appelée
tv | un docusérie sur
song | une chanson appelée
song | une chanson intitulée
song | une chanson de
song | un album appelé
song | un album intitulé
song | un album de
song | un single intitulé
song | a sorti un album intitulé
song | a sorti une chanson intitulée
song | a sorti un single intitulé
podcast | un podcast appelé
podcast | un podcast intitulé
podcast | un podcast animé par
podcast | dit dans le podcast
podcast | discuté dans le podcast
podcast | mentionné dans le podcast
map | une carte de
map | montrez-moi une carte de
map | la géographie de
map | la frontière entre
map | la capitale de
movie | un nouveau film appelé
movie | un nouveau film intitulé

# ── gu_pa ─────────────────────────────────────────────
book | નામનું એક પુસ્તક
book | નામની એક નવલકથા
book | એક પુસ્તક પ્રકાશિત કર્યું
book | પુસ્તકના લેખક
book | naamnu ek pustak
book | naamni ek navalakatha
book | pustakna lekhak
paper | નામનો એક સંશોધન લેખ
paper | અભ્યાસ દર્શાવે છે કે
paper | arxiv પર પ્રકાશિત
paper | naamno ek sanshodhan lekh
paper | abhyas darshave chhe ke
movie | નામની એક ફિલ્મ
movie | દિગ્દર્શક છે
movie | naamni ek film
movie | digdarshak chhe
tv | નામની એક શ્રેણી
tv | naamni ek shreni
song | નામનું એક ગીત
song | નામનું એક આલ્બમ
song | naamnu ek geet
song | naamnu ek album
podcast | નામનો એક પૉડકાસ્ટ
podcast | પૉડકાસ્ટમાં કહ્યું
podcast | naamno ek podcast
map | નો નકશો
map | નકશો બતાવો
map | ની રાજધાની
map | no naksho
map | ni rajdhani
book | ਨਾਮ ਦੀ ਇੱਕ ਕਿਤਾਬ
book | ਨਾਮ ਦਾ ਇੱਕ ਨਾਵਲ
book | ਇੱਕ ਕਿਤਾਬ ਪ੍ਰਕਾਸ਼ਿਤ ਕੀਤੀ
book | ਕਿਤਾਬ ਦੇ ਲੇਖਕ
book | naam di ikk kitaab
book | naam da ikk novel
book | kitaab de lekhak
paper | ਨਾਮ ਦਾ ਇੱਕ ਖੋਜ ਪੱਤਰ
paper | ਅਧਿਐਨ ਵਿੱਚ ਪਾਇਆ ਗਿਆ ਕਿ
paper | arxiv ਤੇ ਪ੍ਰਕਾਸ਼ਿਤ
paper | naam da ikk khoj patar
paper | adhiayan vich paaya gaya ki
movie | ਨਾਮ ਦੀ ਇੱਕ ਫਿਲਮ
movie | ਨਿਰਦੇਸ਼ਕ ਹਨ
movie | naam di ikk film
movie | nirdeshak han
tv | ਨਾਮ ਦੀ ਇੱਕ ਲੜੀ
tv | naam di ikk ladi
song | ਨਾਮ ਦਾ ਇੱਕ ਗਾਣਾ
song | ਨਾਮ ਦਾ ਇੱਕ ਐਲਬਮ
song | naam da ikk gaana
song | naam da ikk album
podcast | ਨਾਮ ਦਾ ਇੱਕ ਪੋਡਕਾਸਟ
podcast | ਪੋਡਕਾਸਟ ਵਿੱਚ ਕਿਹਾ
podcast | naam da ikk podcast
map | ਦਾ ਨਕਸ਼ਾ
map | ਦੀ ਰਾਜਧਾਨੀ
map | da naqsha
map | di rajdhani

# ── hi ────────────────────────────────────────────────
book | एक किताब जिसका नाम है
book | एक किताब जिसका नाम
book | एक उपन्यास जिसका नाम है
book | एक किताब लिखी जिसका नाम है
book | एक किताब प्रकाशित की जिसका नाम है
book | उनकी किताब जिसका नाम है
book | किताब का नाम है
book | किताब के लेखक
paper | एक पेपर जिसका नाम है
paper | एक अध्ययन जिसका नाम है
paper | एक पेपर प्रकाशित किया
paper | अध्ययन में पाया गया कि
paper | शोध से पता चलता है कि
paper | arxiv पर
paper | arxiv पर प्रकाशित
movie | एक फिल्म जिसका नाम है
movie | एक फिल्म रिलीज़ की जिसका नाम है
movie | एक डॉक्यूमेंट्री जिसका नाम है
movie | निर्देशक हैं
movie | में मुख्य भूमिका में
tv | एक सीरीज जिसका नाम है
tv | एक वेब सीरीज जिसका नाम है
tv | एक शो जिसका नाम है
tv | द्वारा बनाई गई सीरीज
song | एक गाना जिसका नाम है
song | एक एल्बम जिसका नाम है
song | एक एल्बम रिलीज़ किया जिसका नाम है
song | एक गाना रिलीज़ किया जिसका नाम है
podcast | एक पॉडकास्ट जिसका नाम है
podcast | पॉडकास्ट में कहा
podcast | द्वारा होस्ट किया गया पॉडकास्ट
map | का नक्शा
map | नक्शा दिखाओ
map | के बीच की सीमा
map | की राजधानी
book | ek kitaab jiska naam hai
book | ek upanyas jiska naam hai
book | ek kitaab likhi jiska naam hai
book | kitaab ka naam hai
book | kitaab ke lekhak
paper | ek paper jiska naam hai
paper | ek adhyayan jiska naam hai
paper | paper publish kiya
paper | adhyayan mein paya gaya ki
paper | shodh se pata chalta hai ki
paper | arxiv par
movie | ek film jiska naam hai
movie | ek film release ki jiska naam hai
movie | ek documentary jiska naam hai
movie | director hain
tv | ek series jiska naam hai
tv | ek web series jiska naam hai
tv | dwara banayi gayi series
song | ek gaana jiska naam hai
song | ek album jiska naam hai
song | album release kiya jiska naam hai
podcast | ek podcast jiska naam hai
podcast | podcast mein kaha
podcast | dwara host kiya gaya podcast
map | ka naksha
map | naksha dikhao
map | ki rajdhani

# ── it ────────────────────────────────────────────────
book | un libro chiamato
book | un libro intitolato
book | un libro di
book | un romanzo chiamato
book | un romanzo intitolato
book | un romanzo di
book | una biografia di
book | una biografia intitolata
book | un'autobiografia intitolata
book | ha pubblicato un libro chiamato
book | ha pubblicato un libro intitolato
book | nel suo libro chiamato
book | l'autore di
paper | un articolo chiamato
paper | un articolo intitolato
paper | un articolo su
paper | uno studio chiamato
paper | uno studio su
paper | uno studio recente
paper | un articolo di ricerca intitolato
paper | ha pubblicato un articolo su
paper | in un articolo pubblicato
paper | lo studio ha scoperto che
paper | l'articolo sostiene che
paper | su arxiv
paper | pubblicato su arxiv
paper | un preprint intitolato
movie | un film chiamato
movie | un film intitolato
movie | un film di
movie | un documentario chiamato
movie | un documentario su
movie | diretto da
movie | ha rilasciato un film chiamato
movie | un cortometraggio chiamato
movie | un biopic su
tv | una serie chiamata
tv | una serie intitolata
tv | una serie creata da
tv | un programma chiamato
tv | una miniserie chiamata
tv | una serie televisiva chiamata
tv | una docuserie su
song | una canzone chiamata
song | una canzone intitolata
song | una canzone di
song | un album chiamato
song | un album intitolato
song | un album di
song | un singolo chiamato
song | ha rilasciato un album chiamato
song | ha rilasciato una canzone chiamata
podcast | un podcast chiamato
podcast | un podcast su
podcast | un podcast condotto da
podcast | detto nel podcast
podcast | discusso nel podcast
map | una mappa di
map | mostrami una mappa di
map | la geografia di
map | il confine tra
map | la capitale di

# ── ja ────────────────────────────────────────────────
book | という本
book | という小説
book | という本を書いた
book | という本を出版した
book | と題された本
book | という回顧録
book | という伝記
book | の著者
paper | という論文
paper | という研究
paper | という論文を発表した
paper | という研究を発表した
paper | と題された論文
paper | 研究によると
paper | 研究が示すように
paper | arxivに投稿された
paper | arxivの論文
paper | 研究で明らかになった
movie | という映画
movie | という映画を公開した
movie | という映画を作った
movie | というドキュメンタリー
movie | 監督は
movie | が監督した映画
movie | 主演は
tv | というドラマ
tv | というシリーズ
tv | という番組
tv | が制作した
song | という曲
song | という歌
song | というアルバム
song | というシングル
song | アルバムをリリースした
song | 曲をリリースした
podcast | というポッドキャスト
podcast | ポッドキャストで言った
podcast | が司会のポッドキャスト
map | の地図
map | 地図を見せて
map | との国境
map | の首都

# ── ko ────────────────────────────────────────────────
book | 라는 책
book | 이라는 책
book | 라는 소설
book | 이라는 소설
book | 라는 제목의 책
book | 책을 출판했습니다
book | 라는 책을 썼습니다
book | 의 저자
paper | 라는 논문
paper | 이라는 논문
paper | 라는 연구
paper | 이라는 연구
paper | 논문을 발표했습니다
paper | 연구에 따르면
paper | 연구 결과
paper | arxiv에 게재된
movie | 라는 영화
movie | 이라는 영화
movie | 라는 다큐멘터리
movie | 이라는 다큐멘터리
movie | 감독
movie | 주연은
tv | 라는 드라마
tv | 이라는 드라마
tv | 라는 시리즈
tv | 라는 프로그램
song | 라는 노래
song | 이라는 노래
song | 라는 앨범
song | 이라는 앨범
song | 앨범을 발매했습니다
song | 노래를 발매했습니다
podcast | 라는 팟캐스트
podcast | 이라는 팟캐스트
podcast | 팟캐스트에서 말했습니다
podcast | 이 진행하는 팟캐스트
map | 의 지도
map | 지도를 보여줘
map | 사이의 국경
map | 의 수도

# ── mr ────────────────────────────────────────────────
book | नावाचे एक पुस्तक
book | नावाची एक कादंबरी
book | एक पुस्तक प्रकाशित केले
book | पुस्तकाचे लेखक
book | navaache ek pustak
book | navaachi ek kadambari
book | pustakache lekhak
paper | नावाचा एक शोधनिबंध
paper | अभ्यासात असे आढळले की
paper | arxiv वर प्रकाशित
paper | navacha ek shodhnibandh
paper | abhyasat aashe aadhale ki
movie | नावाचा एक चित्रपट
movie | नावाचा एक माहितीपट
movie | दिग्दर्शक आहेत
movie | navacha ek chitrapat
movie | digdarshak aahet
tv | नावाची एक मालिका
tv | navaachi ek malika
song | नावाचे एक गाणे
song | नावाचा एक अल्बम
song | navaache ek gaane
podcast | नावाचा एक पॉडकास्ट
podcast | पॉडकास्टमध्ये सांगितले
podcast | navacha ek podcast
map | चा नकाशा
map | नकाशा दाखवा
map | ची राजधानी
map | cha nakasha
map | chi rajdhani

# ── nl ────────────────────────────────────────────────
book | een boek genaamd
book | een boek getiteld
book | een boek van
book | een roman genaamd
book | een roman van
book | een biografie van
book | een biografie getiteld
book | heeft een boek gepubliceerd genaamd
book | in zijn boek genaamd
book | in haar boek genaamd
book | de auteur van
paper | een artikel genaamd
paper | een artikel over
paper | een studie genaamd
paper | een studie over
paper | een recente studie
paper | een onderzoeksartikel getiteld
paper | heeft een artikel gepubliceerd over
paper | de studie concludeerde dat
paper | op arxiv
paper | een preprint getiteld
movie | een film genaamd
movie | een film getiteld
movie | een film van
movie | een documentaire genaamd
movie | een documentaire over
movie | geregisseerd door
movie | heeft een film uitgebracht genaamd
tv | een serie genaamd
tv | een serie getiteld
tv | een serie gemaakt door
tv | een programma genaamd
tv | een miniserie genaamd
song | een liedje genaamd
song | een nummer genaamd
song | een album genaamd
song | een album van
song | een single genaamd
song | heeft een album uitgebracht genaamd
song | heeft een nummer uitgebracht genaamd
podcast | een podcast genaamd
podcast | een podcast van
podcast | een podcast gepresenteerd door
podcast | gezegd in de podcast
podcast | besproken in de podcast
map | een kaart van
map | laat me een kaart zien van
map | de geografie van
map | de grens tussen
map | de hoofdstad van

# ── other ─────────────────────────────────────────────
book | หนังสือชื่อ
book | หนังสือที่มีชื่อว่า
book | นิยายชื่อ
book | ตีพิมพ์หนังสือชื่อ
book | ผู้แต่งหนังสือ
paper | บทความวิจัยชื่อ
paper | การศึกษาชื่อ
paper | การศึกษาพบว่า
paper | บน arxiv
movie | ภาพยนตร์ชื่อ
movie | สารคดีชื่อ
movie | กำกับโดย
tv | ซีรีส์ชื่อ
tv | รายการชื่อ
song | เพลงชื่อ
song | อัลบั้มชื่อ
song | ออกอัลบั้มชื่อ
podcast | พอดแคสต์ชื่อ
podcast | พูดในพอดแคสต์
map | แผนที่ของ
map | ชายแดนระหว่าง
map | เมืองหลวงของ
book | một cuốn sách có tên
book | một cuốn sách được gọi là
book | một cuốn tiểu thuyết có tên
book | đã xuất bản một cuốn sách có tên
book | tác giả của cuốn sách
paper | một bài báo có tên
paper | một nghiên cứu có tên
paper | nghiên cứu cho thấy rằng
paper | trên arxiv
movie | một bộ phim có tên
movie | một bộ phim tài liệu có tên
movie | đạo diễn bởi
tv | một bộ phim truyền hình có tên
tv | một series có tên
song | một bài hát có tên
song | một album có tên
song | đã phát hành album có tên
podcast | một podcast có tên
podcast | nói trong podcast
map | bản đồ của
map | biên giới giữa
map | thủ đô của
book | sebuah buku berjudul
book | sebuah buku bernama
book | sebuah novel berjudul
book | menerbitkan buku berjudul
book | dalam bukunya berjudul
book | penulis buku
paper | sebuah makalah berjudul
paper | sebuah studi berjudul
paper | studi menemukan bahwa
paper | di arxiv
movie | sebuah film berjudul
movie | sebuah dokumenter berjudul
movie | disutradarai oleh
tv | sebuah serial berjudul
tv | sebuah acara berjudul
song | sebuah lagu berjudul
song | sebuah album berjudul
song | merilis album berjudul
podcast | sebuah podcast berjudul
podcast | dikatakan dalam podcast
podcast | podcast yang dipandu oleh
map | peta dari
map | batas antara
map | ibu kota dari
book | kitabu kinachoitwa
book | kitabu chenye jina la
book | riwaya inayoitwa
book | alichapisha kitabu kinachoitwa
book | mwandishi wa kitabu
paper | makala inayoitwa
paper | utafiti unaoitwa
paper | utafiti uligundua kwamba
paper | kwenye arxiv
movie | filamu inayoitwa
movie | filamu ya nyaraka inayoitwa
movie | ikiongozwa na
tv | mfululizo unaoitwa
tv | kipindi kinachoitwa
song | wimbo unaoitwa
song | albamu inayoitwa
song | alitoa albamu inayoitwa
podcast | podikasti inayoitwa
podcast | alisema kwenye podikasti
map | ramani ya
map | mpaka kati ya
map | mji mkuu wa

# ── pl ────────────────────────────────────────────────
book | książka zatytułowana
book | książka o nazwie
book | powieść zatytułowana
book | powieść o nazwie
book | biografia zatytułowana
book | opublikował książkę zatytułowaną
book | wydał książkę zatytułowaną
book | w jego książce zatytułowanej
