# profanity.txt — common profane words and phrases for content moderation
# Format: label | phrase
# Labels: profanity | sexual
#
# Coverage: common words that appear in media ratings, content filters,
# and academic linguistics. Designed for content moderation use cases.
# Includes single words and common short phrases.
#
# NOTE: Verify native language entries with a native speaker before
# production use. Languages marked [VERIFY] are best-effort.
#
# Lines starting with # <lang> indicate language sections (informational only).

# ── English ───────────────────────────────────────────────────────────────────
# en

profanity | fuck
profanity | haraami
profanity | haraamzaada
profanity | bakwaas
profanity | besharam
profanity | bevkoof
sexual | ashleel
sexual | porn
sexual | ashleel samagri

# ── Bengali ───────────────────────────────────────────────────────────────────
# bn [VERIFY] — script

profanity | মাদারচোদ
profanity | বাল
profanity | শালা
profanity | হারামি
profanity | কুত্তার বাচ্চা
profanity | বেশ্যার পোলা
profanity | ছাগল
profanity | গাধা

# bn — Roman

profanity | madarchod
profanity | shala
profanity | haraami
profanity | kuttar bachcha

# ── Marathi ───────────────────────────────────────────────────────────────────
# mr [VERIFY] — script

profanity | मादरचोद
profanity | झवाड्या
profanity | साल्या
profanity | हरामखोर
profanity | गधड्या

# mr — Roman

profanity | madarchod
profanity | salya
profanity | haramkhor
profanity | gadhadya

# ── Gujarati ──────────────────────────────────────────────────────────────────
# gu [VERIFY] — script

profanity | મા ની આંખ
profanity | ભડવો
profanity | હરામી
profanity | ગધેડો

# gu — Roman

profanity | ma ni aankh
profanity | bhadvo
profanity | haraami
profanity | gadhedo

# ── Punjabi ───────────────────────────────────────────────────────────────────
# pa [VERIFY] — Gurmukhi

profanity | ਮਾਦਰਚੋਦ
profanity | ਹਰਾਮੀ
profanity | ਕੁੱਤੇ ਦਾ ਪੁੱਤ
profanity | ਸਾਲਾ
profanity | ਗਧਾ

# pa — Roman

profanity | madarchod
profanity | haraami
profanity | kutte da putt
profanity | saala

# ── Tamil ─────────────────────────────────────────────────────────────────────
# ta [VERIFY] — script

profanity | ஓடா
profanity | நாயே
profanity | தேவடியாள்
profanity | சூம்பு
profanity | கழுதை

# ta — Roman

profanity | naaye
profanity | thevadiya
profanity | soombu
profanity | kazhuthe

# ── Telugu ────────────────────────────────────────────────────────────────────
# te [VERIFY] — script

profanity | దెంగు
profanity | వెధవ
profanity | లంజా
profanity | నాయాల

# te — Roman

profanity | dengu
profanity | vedhava
profanity | lanja
profanity | naayal

# ── Kannada ───────────────────────────────────────────────────────────────────
# kn [VERIFY] — script

profanity | ಮಗನೇ
profanity | ಸೂಳೆ
profanity | ಲಂಜಾ

# kn — Roman

profanity | magane
profanity | soole
profanity | lanja

# ── Malayalam ─────────────────────────────────────────────────────────────────
# ml [VERIFY] — script

profanity | പോടാ
profanity | മോനേ
profanity | കഴുത

# ml — Roman

profanity | kazhutha

# ── Japanese ─────────────────────────────────────────────────────────────────
# ja

profanity | くそ
profanity | くそっ
profanity | くそやろう
profanity | ばか
profanity | バカ
profanity | あほ
profanity | アホ
profanity | しね
profanity | うせろ
profanity | うるさい
profanity |死ね
profanity | ふざけるな
profanity | このやろう
profanity | てめえ
profanity | このクソ
profanity |消えろ
sexual | ポルノ
sexual | アダルトコンテンツ
sexual | 性的なコンテンツ

# ── Chinese ───────────────────────────────────────────────────────────────────
# zh — Simplified

profanity | 他妈的
profanity | 操你妈
profanity | 操
profanity | 去你妈的
profanity | 狗日的
profanity | 混蛋
profanity | 王八蛋
profanity | 滚
profanity | 滚蛋
profanity | 闭嘴
profanity | 傻逼
profanity | 草泥马
profanity | 妈的
profanity | 垃圾
profanity | 废物
profanity | 白痴
profanity | 蠢货
sexual | 色情
sexual | 成人内容
sexual | 色情内容

# zh — Traditional

profanity | 他媽的
profanity | 操你媽
profanity | 去你媽的
profanity | 混蛋
profanity | 王八蛋
profanity | 滾
profanity | 閉嘴
profanity | 傻屄
profanity | 媽的
sexual | 色情
sexual | 成人內容

# ── Korean ────────────────────────────────────────────────────────────────────
# ko [VERIFY]

profanity | 씨발
profanity | 개새끼
profanity | 지랄
profanity | 병신
profanity | 미친
profanity | 닥쳐
profanity | 꺼져
profanity | 개소리
profanity | 망할
profanity | 빌어먹을
sexual | 포르노
sexual | 성인 콘텐츠
sexual | 음란물

# ── Thai ──────────────────────────────────────────────────────────────────────
# th [VERIFY]

profanity | อีสัตว์
profanity | ไอ้สัตว์
profanity | เหี้ย
profanity | ระยำ
profanity | ไอ้บ้า
profanity | อีบ้า
profanity | ไอ้โง่
profanity | ปิดปาก
sexual | สื่อลามก
sexual | เนื้อหาสำหรับผู้ใหญ่

# ── Vietnamese ────────────────────────────────────────────────────────────────
# vi [VERIFY]

profanity | đồ chó
profanity | đồ khốn
profanity | mẹ kiếp
profanity | đổ mẹ mày
profanity | thằng ngu
profanity | câm mồm
profanity | đm
sexual | khiêu dâm
sexual | nội dung người lớn
sexual | nội dung khiêu dâm

# ── Indonesian/Malay ──────────────────────────────────────────────────────────
# id [VERIFY]

profanity | anjing
profanity | bangsat
profanity | brengsek
profanity | goblok
profanity | keparat
profanity | setan
profanity | sialan
profanity | tolol
profanity | tutup mulut
sexual | pornografi
sexual | konten dewasa
sexual | konten eksplisit

# ── Swahili ───────────────────────────────────────────────────────────────────
# sw [VERIFY]

profanity | mwizi
profanity | mjinga
profanity | pumbavu
profanity | nyamaza
profanity | kondoo
profanity | kinywa chako
sexual | ponografia
sexual | maudhui ya watu wazima
